"","Sample","input","filtered","denoisedF","denoisedR","merged","nonchim"
"210","HD4385-S1",44371,32422,30253,30096,25705,25291
"211","HD4386-S1",52711,39030,35630,35265,29291,28968
"212","HD4387-S1",42658,32218,29706,29814,25224,25033
"213","HD4388-S1",20355,14819,13438,13273,10795,10780
"214","HD4389-S1",25512,18924,17172,17187,13720,13715
"215","HD4390-S1",95791,70949,65497,65433,55327,54607
"217","HD4391-S1",72342,53375,50124,50149,43674,43044
"218","HD4392-S1",21353,16449,14933,14849,11544,11544
"219","HD4393-S1",31188,22518,20466,20384,16080,16054
"220","HD4394-S1",56682,43175,40315,40322,34972,33800
"221","HD4395-S1",63243,45977,42512,42553,35502,34243
"222","HD4396-S1",57097,42350,39322,39339,33532,32100
"223","HD4397-S10",34053,25378,23809,23479,20317,19791
"224","HD4397-S11",36446,26554,24696,24571,20405,20199
"225","HD4397-S112_16",34777,26422,24603,24543,21464,21019
"226","HD4397-S112_6",45556,32535,30563,30437,26780,26571
"227","HD4397-S12",38188,28954,27606,27501,24641,24281
"228","HD4397-S13",41127,31006,29220,29330,25178,24905
"229","HD4397-S14",33082,27003,25566,25573,22966,22725
"230","HD4397-S15",231220,170126,163111,164023,146444,134042
"231","HD4397-S16",45755,34051,31845,31904,27212,26656
"232","HD4397-S17",33484,24698,22968,23044,19408,19164
"233","HD4397-S18",42482,30591,28537,28516,23800,23133
"234","HD4397-S19",25327,18772,17550,17292,15030,14980
"235","HD4397-S2",29322,21726,20666,20551,18198,17241
"236","HD4397-S20",26120,19565,18391,18379,15967,15532
"237","HD4397-S3",30830,23924,22391,22263,19225,18705
"238","HD4397-S4",24481,17595,16432,16311,13845,13406
"239","HD4397-S5",28058,20521,19062,18894,16043,15811
"240","HD4397-S6",23911,17695,16803,16718,14817,14460
"241","HD4397-S7",62414,45439,42012,42335,35402,33386
"242","HD4397-S812_23",52755,38311,35910,35815,31593,30955
"243","HD4397-S9",26297,20794,19310,19291,16797,16663
"245","HD4398-S1",53774,40058,37187,37251,31912,31276
"246","HD4399-S1",51382,38358,35652,35779,30675,29506
