input	filtered	denoisedF	denoisedR	merged	nonchim
HD4354-S1_S54	3814	3813	1140	1130	1123	1123
HD4355-S1_S55	23968	23968	6769	6768	6768	6768
HD4356-S1_S56	86149	86146	49737	49734	49586	48194
HD4357-S1_S57	118312	118304	61564	61300	56520	56007
HD4358-S1_S58	18692	18664	7479	7469	5087	5087
HD4359-S1_S59	3800	3798	34	2	2	2
HD4360-S1_S60	79079	79078	47879	47730	45788	45787
HD4361-S1_S61	75421	75418	51846	51888	51813	51781
HD4362-S1_S62	43858	43854	30988	30985	30864	30864
HD4363-S1_S63	87936	87936	29281	29274	21687	21687
HD4364-S1_S64	18047	18047	10489	10426	9203	9203
HD4365-S1_S65	70436	70434	24308	24250	22707	22707
HD4366-S1_S66	100978	100978	27199	27213	14734	14734
HD4367-S1_S67	87464	87458	43160	43152	43053	41408
HD4368-S1_S68	9339	9339	3334	3415	3324	3324
HD4369-S1_S69	31411	31409	11233	11234	9796	9796
HD4370-S1_S70	14061	14058	6535	6453	4361	4361
HD4371-S1_S101	25589	25571	1289	1224	1209	1209
HD4371-S10_S110	84873	84768	26888	26796	26712	26704
HD4371-S11_S111	21006	20985	8222	8099	8099	8099
HD4371-S111_19_S71	22439	22433	600	577	577	577
HD4371-S12_S112	57949	57890	30020	29979	29862	29787
HD4371-S13_S113	61426	61302	14392	14376	14372	14372
HD4371-S14_S114	48583	48504	13540	13541	12277	12277
HD4371-S15_S115	19703	19703	10214	10203	9581	9581
HD4371-S16_S116	73261	73143	7743	7756	7695	7695
HD4371-S17_S117	60832	60794	29892	29988	27304	27304
HD4371-S18_S118	83005	82958	43991	43977	43159	43081
HD4371-S19_S119	97989	97862	41544	41533	41511	41360
HD4371-S2_S102	79114	79074	36707	36654	36528	36528
HD4371-S20_S120	132827	132598	35704	35659	28824	28824
HD4371-S3_S103	131977	131959	70580	70594	70429	70245
HD4371-S4_S104	97075	96906	33223	33197	32685	32598
HD4371-S5_S105	109243	109166	52826	52734	40028	40004
HD4371-S6_S106	104465	104311	27133	27305	27040	27040
HD4371-S7_S107	62953	62912	29626	29628	20431	20431
HD4371-S8_S108	13072	13043	901	864	271	271
HD4371-S9_S109	26085	26067	2412	2350	2044	2044
HD4372-S1_S72	41558	41469	7246	7196	7194	7194
HD4373-S1_S73	30692	30651	12946	12909	11635	11635
HD4374-S1_S74	34157	34156	19890	19897	19888	19888
HD4375-S1_S75	29652	29598	4366	4336	4335	4335
HD4376-S1_S76	12818	12818	1284	1262	1262	1262
HD4377-S1_S77	49733	49732	14733	14729	14729	14729
HD4378-S1_S78	51450	51448	27125	27131	23692	23692
HD4379-S1_S141	37458	37455	2831	2818	2818	2818
HD4379-S10_S150	3902	3901	125	72	72	72
HD4379-S11_S151	17087	17087	5000	5022	5000	5000
HD4379-S112_2_S79	16138	16137	1293	203	203	203
HD4379-S12_S152	71312	71309	13190	12934	12933	12933
HD4379-S13_S153	99963	99962	56360	56215	49757	49744
HD4379-S14_S154	23214	23214	6443	6435	6432	6432
HD4379-S15_S155	51013	51012	18820	18819	17906	17906
HD4379-S16_S156	24994	24992	1087	1129	1081	1081
HD4379-S17_S157	11662	11662	1419	1369	720	720
HD4379-S18_S158	36202	36202	9013	8942	8474	8474
HD4379-S19_S159	10636	10636	731	721	74	74
HD4379-S2_S142	15478	15478	1399	1142	626	626
HD4379-S20_S160	47320	47320	18801	18796	18773	18773
HD4379-S3_S143	10078	10077	857	857	45	45
HD4379-S4_S144	17946	17932	1490	1035	424	424
HD4379-S5_S145	32640	32639	6108	6071	6071	6071
HD4379-S6_S146	25385	25370	3434	3407	3404	3404
HD4379-S7_S147	6549	6547	492	131	69	69
HD4379-S8_S148	21321	21313	8621	8553	7915	7915
HD4379-S9_S149	50992	50992	29180	29116	29054	29027
HD4380-S1_S80	48650	48650	10007	9998	8137	8137
HD4381-S1_S81	72200	72177	23459	23458	23396	23396
HD4382-S1_S82	46990	46984	21125	21133	17437	17437
HD4383-S1_S83	73280	73277	47990	47867	45154	45095
HD4384-S1_S84	84177	84170	51604	51688	49873	49831
HD4385-S1_S85	5093	5093	968	941	941	941
HD4386-S1_S86	52717	52713	30398	30380	30357	30353
HD4387-S1_S87	25269	25226	6759	6714	6709	6709
HD4388-S1_S88	98282	98271	68758	68968	68331	68094
HD4389-S1_S89	73004	72999	21358	21357	14818	14818
HD4390-S1_S90	25428	25428	10067	10058	9779	9779
HD4391-S1_S91	66522	66518	34453	34449	22754	22754
HD4392-S1_S92	33500	33496	6599	6584	6420	6420
HD4393-S1_S93	66670	66583	24539	24531	22633	22633
HD4394-S1_S94	7482	7465	198	166	163	163
HD4395-S1_S95	52138	52138	16587	16443	14545	14542
HD4396-S1_S96	38501	38496	26269	26269	25964	25752
HD4397-S1_S181	255761	255734	183820	183832	177628	175283
HD4397-S1_S97	58893	58850	25594	25731	24923	24878
HD4397-S10_S190	79155	79082	20076	20061	15524	15521
HD4397-S11_S191	17960	17953	7906	7738	6822	6822
HD4397-S12_S192	58392	58392	13029	13026	13026	13026
HD4397-S13_S193	31236	31234	16635	16576	16329	16329
HD4397-S14_S194	4879	4878	2012	1986	1986	1986
HD4397-S15_S195	324871	324844	182227	182054	112619	110521
HD4397-S16_S196	105475	105461	36135	36076	31069	31069
HD4397-S17_S197	6862	6862	1081	1079	668	668
HD4397-S18_S198	45392	45351	12659	12644	12115	12115
HD4397-S19_S199	19717	19716	12122	12130	12121	12121
HD4397-S2_S182	30071	30043	13102	13103	12560	12560
HD4397-S20_S200	90432	90428	38121	38105	25250	25238
HD4397-S3_S183	14338	14338	1639	1606	1603	1603
HD4397-S4_S184	75671	75641	46245	46233	44246	44188
HD4397-S5_S185	37508	37502	21603	21565	19471	19469
HD4397-S6_S186	22694	22691	10102	10098	10098	10098
HD4397-S7_S187	10716	10713	4419	4384	4210	4210
HD4397-S8_S188	18100	18100	9212	9135	9003	9003
HD4397-S9_S189	26400	26400	10577	10630	8623	8623
HD4398-S1_S98	49175	49175	18417	18335	18332	18332
HD4399-S1_S99	44794	44776	22371	22386	21645	18973
NTC_S217	69	69	1	1	0	0
