YrSinceTrt_BR,Genus,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
3-4 PT,Hypochnicium,0.020275116185667564,0.04055023237133513,0.020275116185667564,4,25
3-4 PT,Sagenomella,0.01928170372835316,0.009395558096721207,0.004697779048360604,4,100
3-4 PT,Inocybe,0.0185701631859709,0.03407905806248082,0.01703952903124041,4,100
3-4 PT,Cladophialophora,0.01723158521708477,0.01577613819307378,0.00788806909653689,4,100
3-4 PT,Xerocomellus,0.015366420489597146,0.020169667404732153,0.010084833702366076,4,75
3-4 PT,Rhizopogon,0.014777629590724225,0.015729383244116157,0.007864691622058079,4,100
3-4 PT,Cladosporium,0.013990122260205165,0.022984107944651482,0.011492053972325741,4,75
3-4 PT,Exophiala,0.011972335900791737,0.006969399583920085,0.0034846997919600426,4,100
3-4 PT,GS25_ord_Incertae_sedis_gen_Incertae_sedis,0.011597099711902805,0.008749042504660689,0.004374521252330344,4,75
3-4 PT,Glomerellales_gen_Incertae_sedis,0.011408339889850513,0.022816679779701025,0.011408339889850513,4,25
5-8 PT,Other,0.2520861927980603,0.11808127751683906,0.04463052782890838,7,100
5-8 PT,Inocybe,0.11572653572746228,0.1972045561418583,0.07453631613717604,7,85.71428571428571
5-8 PT,Umbelopsis,0.07197863166653308,0.07751909122510971,0.0292994624630528,7,100
5-8 PT,Tuber,0.06344275798516953,0.10249019917606715,0.038737654120192956,7,57.14285714285714
5-8 PT,Podila,0.05017943607463201,0.06470885667767008,0.024457648913205187,7,100
5-8 PT,Saitozyma,0.043815708259989115,0.05563233280805541,0.021027045352070603,7,100
5-8 PT,Mortierella,0.04356694648251362,0.03486366831318196,0.013177228021160312,7,85.71428571428571
5-8 PT,Melanogaster,0.03566979844014755,0.08412754639925948,0.03179722374035542,7,85.71428571428571
5-8 PT,Botryobasidium,0.03493496626573707,0.09056423457934865,0.03423006319626754,7,57.14285714285714
5-8 PT,Pseudotomentella,0.034462971334131794,0.08766175938282862,0.0331330306881925,7,28.57142857142857
5-8 PT,Geminibasidium,0.03368836276654259,0.051512899070679,0.0194700457504267,7,100
