NTC,NTCPCRcontrol,NA,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HD4369-S1,HD4369-S1,basetree_100plots,sample,1,0,NA,1,NA1,2019,2017,2,<3,1to2,SODtrt,SODtrt,1,2,42.10585,-124.28612,1,0,NA,NA,NA
HD4376-S1,HD4376-S1,basetree_100plots,sample,1,1,post,1,EU1,2020,2018,2,<3,1to2,SODtrt,SODtrt,1,2,42.29333,-124.39407,0,0,NA,NA,NA
HD4377-S1,HD4377-S1,basetree_100plots,sample,1,0,NA,1,EU1,2020,2018,2,<3,1to2,SODtrt,SODtrt,1,2,42.29337,-124.39236,0,0,NA,NA,NA
HD4378-S1,HD4378-S1,basetree_100plots,sample,1,1,post,1,EU1,2020,2018,2,<3,1to2,SODtrt,SODtrt,1,2,42.30084,-124.38645,0,0,NA,NA,NA
HD4379-S10,HD4379-S10,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S11,HD4379-S11,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S112_13,HD4379-S1-12_13,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S112_2,HD4379-S1-12_2,basetree_100plots,sample,1,1,post,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S12,HD4379-S12,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S13,HD4379-S13,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S14,HD4379-S14,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S15,HD4379-S15,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S16,HD4379-S16,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
