"YrSinceTrt_BR","Genus","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"5 to 8","Candidatus Udaeobacter",0.114353029702924,0.124541372250045,0.0470722141303343,7,100
"5 to 8","Bradyrhizobium",0.0418667803679299,0.0115392548477271,0.00436142837744033,7,100
"5 to 8","Candidatus Xiphinematobacter",0.0370974714264248,0.0335942765553097,0.0126974430343539,7,100
"5 to 8","Other",0.0302577582651787,NA,NA,NA,NA
"5 to 8","Bryobacter",0.029902437588716,0.0270097978141084,0.0102087439968953,7,100
"5 to 8","Mycobacterium",0.0268518897884488,0.0304092782893631,0.0114936268432301,7,100
"5 to 8","Pseudolabrys",0.0257043486657123,0.0370705505801337,0.0140113511141821,7,85.7142857142857
"5 to 8","Roseiarcus",0.0254925176957741,0.0259913690757468,0.00982381411550296,7,100
"5 to 8","Puia",0.0254253519832649,0.0160857807184393,0.00607985363218689,7,100
"5 to 8","Acidothermus",0.0237266227627788,0.0132803135241862,0.00501948670256636,7,100
"5 to 8","Granulicella",0.0237223576564857,0.017341190331251,0.00655435386490398,7,85.7142857142857
"5 to 8","Acidibacter",0.0219854942569313,0.0148417580809315,0.00560965727158973,7,100
"5 to 8","Mucilaginibacter",0.0218719666066672,0.0168039461947298,0.00635129466796647,7,85.7142857142857
"5 to 8","Haliangium",0.0212199295948508,0.00913312885341609,0.00345199823400678,7,100
"5 to 8","Burkholderia-Caballeronia-Paraburkholderia",0.0208067038498023,0.030372471063296,0.0114797150194267,7,85.7142857142857
"5 to 8","Conexibacter",0.0198933204101715,0.0110012799301311,0.004158092971219,7,100
"5 to 8","Candidatus Solibacter",0.0192068307202316,0.0175529050943457,0.00663437452376535,7,100
"5 to 8","Chthoniobacter",0.0191051601418658,0.0167564747805215,0.00633335215991222,7,85.7142857142857
"5 to 8","Methylocapsa",0.0165356859329259,0.0118904841108828,0.00449418056079441,7,100
"5 to 8","Acidipila-Silvibacterium",0.0127303847502364,0.00840241824834621,0.00317581558523929,7,85.7142857142857
"5 to 8","Candidatus Koribacter",0.0119964583142004,0.0177380268551874,0.00670434397254443,7,71.4285714285714
"5 to 8","Reyranella",0.0118484762996196,0.00662334856132353,0.00250339044853707,7,100
"5 to 8","Rhodoplanes",0.011810005668333,0.0093947297420839,0.00355087407603085,7,100
"5 to 8","Aquisphaera",0.0113099983478039,0.00809842224391737,0.00306091589562843,7,100
"5 to 8","Alkanindiges",0.0108778983402865,0.0259597627781323,0.00981186805788133,7,57.1428571428571
"5 to 8","Massilia",0.0105471834599749,0.0114512043883173,0.0043281484319513,7,85.7142857142857
"5 to 8","Opitutus",0.0100135135533203,0.0105786759529608,0.00399836368169623,7,100
