"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance","Prevalence"
"68","treated","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes_durhamensis",14,1
"69","treated","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes_tereljensis",120,1
"70","treated","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola","Marmoricola_ginsengisoli",297,7
"71","treated","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides_alpinus",26,1
"72","treated","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis_nigrescens",61,1
"73","treated","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis_saalfeldensis",689,9
"74","treated","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_niveus",84,1
"75","treated","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Microbispora","Microbispora_rosea",58,3
"76","treated","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","Actinoallomurus_bryophytorum",48,1
"77","treated","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Conexibacter_woesei",511,10
"78","treated","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","Solirubrobacter_phytolaccae",89,2
"79","treated","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga_niastensis",32,1
"80","treated","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga_oryziterrae",113,2
"81","treated","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga_soli",30,2
"82","treated","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Parasegetibacter","Parasegetibacter_luojiensis",18,1
"83","treated","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium","Sediminibacterium_aquarii",471,10
"84","treated","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium","Sediminibacterium_salmoneum",45,3
"85","treated","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","Terrimonas_crocea",122,3
"86","treated","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter","Dyadobacter_hamtensis",23,1
"87","treated","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Emticicia","Emticicia_fontis",31,1
"88","treated","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Emticicia","Emticicia_soli",11,1
"89","treated","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_saccharophilum",138,3
"90","treated","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_aquaedulcis",12,1
"91","treated","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_frigoritolerans",1541,15
"92","treated","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_gracilis",21,1
"93","treated","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_jinjuensis",15,1
"94","treated","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_mallensis",35,1
"95","treated","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_myungsuensis",23,1
"96","treated","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_pineti",340,7
"97","treated","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_rigui",88,2
"98","treated","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_jamesrossensis",8,1
"99","treated","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_luteus",54,4
"100","treated","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","Ktedonobacter","Ktedonobacter_racemifer",370,13
"101","treated","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus","Alicyclobacillus_pomorum",9599,43
"102","treated","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus","Tumebacillus_ginsengisoli",763,9
"103","treated","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus","Tumebacillus_permanentifrigoris",156,7
"104","treated","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_psychrosaccharolyticus",24,2
"105","treated","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Oceanobacillus","Oceanobacillus_chungangensis",9,1
"106","treated","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Domibacillus","Domibacillus_tundrae",214,4
"107","treated","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Psychrobacillus","Psychrobacillus_soli",122,2
"108","treated","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_agarexedens",40,2
"109","treated","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_alginolyticus",89,2
"110","treated","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_baekrokdamisoli",31,1
"111","treated","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_pectinilyticus",334,11
"112","treated","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_rhizoryzae",116,6
"113","treated","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Shimazuella","Shimazuella_kribbensis",10,1
"114","treated","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","Romboutsia_hominis",14,1
"115","treated","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfosporosinus","Desulfosporosinus_fructosivorans",14,3
"116","treated","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Aetherobacter","Aetherobacter_rufus",459,8
