Fire_Mod,Kingdom,Phylum,Class,Order,Family,Genus,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-T,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,0.01656907284956705,0.011640807508476252,0.0018640210151326985,39,100
SOD-T,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Acidipila-Silvibacterium,0.015202276483149627,0.01620137202221222,0.002594295791026234,39,87.17948717948718
SOD-T,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,0.015134617987463685,0.013716511356360948,0.00219639964014059,39,89.74358974358975
SOD-T,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,0.013302912186482729,0.012803534730922436,0.0020502063786419227,39,89.74358974358975
SOD-T,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.011586018401737775,0.05101917385660791,0.008169606118319392,39,74.35897435897436
SOD-T,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,0.011240660102098244,0.006871187870843034,0.0011002706282060026,39,94.87179487179486
SOD-T,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Aquisphaera,0.010977237402959517,0.007999055608168638,0.0012808740067202725,39,87.17948717948718
SOD-T,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,0.010700868158497976,0.009589029485227997,0.0015354735882521042,39,94.87179487179486
SOD-T,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,0.010279672777700593,0.013100706560612095,0.0020977919550930076,39,87.17948717948718
Wildfire,Other,Other,Other,Other,Other,Other,0.39669433721550607,NA,NA,NA,NA
Wildfire,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,0.0853042583682902,0.09239720661192924,0.024694192188343077,14,100
Wildfire,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,0.043662259463225266,0.06572317302399083,0.01756525684481694,14,78.57142857142857
Wildfire,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,0.03574328452211741,0.033283650556304875,0.008895429783057195,14,92.85714285714286
Wildfire,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Caenimonas,0.029015532361508885,0.040783902089909965,0.010899956322584057,14,92.85714285714286
Wildfire,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,0.028792745312533476,0.032208278804663544,0.008608024593195995,14,92.85714285714286
Wildfire,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,0.02509339905958595,0.01777007112074217,0.00474925127660166,14,100
Wildfire,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,0.023276588040555428,0.033663131327031276,0.008996850285123417,14,92.85714285714286
Wildfire,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus Xiphinematobacter,0.02139718874475089,0.029268103475213126,0.007822229683206804,14,92.85714285714286
Wildfire,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Alkanibacter,0.020844827729089212,0.03264329959641152,0.008724288790256284,14,85.71428571428571
Wildfire,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,0.020391095990945313,0.01795873741252676,0.004799674464051021,14,100
Wildfire,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocapsa,0.020289344012153602,0.021673774723344842,0.005792559949491255,14,71.42857142857143
Wildfire,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,0.019288821264718172,0.013314079834675785,0.003558337511536616,14,85.71428571428571
Wildfire,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,0.0170201059798514,0.02444557876564691,0.006533355740174784,14,85.71428571428571
Wildfire,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,0.016866097043102303,0.015309284043515125,0.0040915782662599145,14,85.71428571428571
Wildfire,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus,0.01658810918163614,0.025878814749995628,0.006916404169305398,14,71.42857142857143
Wildfire,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,0.016258764727390462,0.01807429846113921,0.004830559453419886,14,92.85714285714286
Wildfire,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,0.01562681507618507,0.011521052554889777,0.0030791308139581515,14,92.85714285714286
Wildfire,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,0.015386526096182792,0.027031626833769088,0.007224506158506343,14,64.2857142857143
Wildfire,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,0.015144443023354345,0.0152713776163147,0.004081447347449866,14,78.57142857142857
Wildfire,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,0.01513482147230112,0.015071162968035592,0.0040279377319017325,14,100
Wildfire,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,0.012312157173491718,0.011508577691793975,0.0030757967665544805,14,64.2857142857143
Wildfire,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,0.011920366707264552,0.01327453870608223,0.0035477697004020836,14,85.71428571428571
Wildfire,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,0.01181421457609988,0.010991853826387067,0.002937696504560042,14,85.71428571428571
Wildfire,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,0.01180384809466221,0.010716328801081249,0.0028640593441188566,14,71.42857142857143
Wildfire,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,0.011637662926456325,0.015115220000252009,0.004039712469046867,14,85.71428571428571
Wildfire,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,0.011232244746586512,0.010160704928601912,0.0027155626179238383,14,78.57142857142857
Wildfire,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,0.01068308229983096,0.009176437880158117,0.0024525061841832734,14,92.85714285714286
Wildfire,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,0.01038869263928125,0.012856305606732699,0.003435992202861046,14,78.57142857142857
Wildfire,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Domibacillus,0.010388366151343566,0.01901369889474875,0.0050816247799594415,14,64.2857142857143
