input	filtered	denoisedF	denoisedR	merged	nonchim
HD4387-S1	40863	32256	29737	29860	25268	25077
HD4388-S1	19513	14839	13459	13306	10836	10836
HD4389-S1	24302	18936	17185	17193	13746	13741
HD4390-S1	91755	70974	65545	65421	55313	54662
HD4391-S1	68520	53548	50372	50366	43953	43662
HD4392-S1	20593	16453	14927	14873	11564	11564
HD4393-S1	29390	22530	20498	20412	16121	16095
HD4394-S1	54368	43197	40359	40340	34991	33823
HD4395-S1	60341	45988	42536	42566	35546	34287
HD4396-S1	54639	42367	39311	39332	33502	32069
HD4397-S10	32562	25391	23835	23510	20350	19824
HD4397-S11	34699	26575	24734	24624	20463	20257
HD4397-S112_16	33462	26558	24788	24713	21659	21628
HD4397-S112_6	43585	32611	30634	30567	26924	26740
HD4397-S12	36410	28967	27620	27489	24637	24242
HD4397-S13	39399	31049	29276	29373	25250	25024
HD4397-S14	31909	27017	25583	25582	23006	22810
HD4397-S15	221067	170471	163541	164364	146871	135294
HD4397-S16	43941	34067	31935	31957	27307	26732
HD4397-S17	32082	24712	23050	23066	19470	19227
HD4397-S18	40646	30606	28561	28536	23807	23074
HD4397-S19	24273	18784	17552	17302	15043	14993
HD4397-S2	27956	21938	20956	20778	18532	18324
HD4397-S20	25138	19583	18420	18407	15985	15550
HD4397-S3	29614	24029	22523	22365	19368	19336
HD4397-S4	23339	17610	16445	16339	13904	13465
HD4397-S5	26811	20534	19075	18948	16100	15869
HD4397-S6	22831	17726	16851	16720	14819	14460
HD4397-S7	59510	45502	42120	42417	35533	33555
HD4397-S812_23	50298	38321	35934	35836	31625	30860
HD4397-S9	25287	20810	19330	19348	16850	16747
HD4398-S1	51573	40063	37200	37265	31973	31336
HD4399-S1	49180	38377	35761	35817	30817	29648
NTC	679	506	504	501	501	501
