"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Species","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"873","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Lyophyllum","Lyophyllum_shimeji",29,1,0.00348055688910226,0.00892450484385195
"874","Treated","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","Trechispora_stevensonii",34,2,0.00338796311365431,0.00868708490680592
"875","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Phaeocollybia","Phaeocollybia_pleurocystidiata",38,1,0.0033753775093267,0.00865481412647873
"876","Treated","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","Taphrina","Taphrina_inositophila",67,3,0.00336674350903225,0.00863267566418526
"877","Treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Marquandomyces","Marquandomyces_marquandii",48,2,0.00330393608836302,0.00847163099580263
"878","Treated","Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Geastrum","Geastrum_rubellum",45,1,0.00325732899022801,0.00835212561596927
"879","Treated","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_romellii",33,3,0.00325475229853406,0.00834551871418991
"880","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","Psathyrella_alluviana",34,3,0.00324526370884553,0.00832118899703982
"881","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hymenogaster","Hymenogaster_arenarius",85,1,0.0032144612941043,0.00824220844642129
"882","Treated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora_humicola",88,2,0.00320398378759148,0.00821534304510636
"883","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Mycena_leptocephala",64,2,0.00317575730980818,0.00814296746104663
"884","Treated","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Absidia","Absidia_glauca",91,5,0.00316148162515587,0.0081063631414253
"885","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Ramariopsis","Ramariopsis_crocea",64,3,0.00314669715291716,0.00806845423824915
"886","Treated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","Capronia_pulcherrima",78,2,0.00314211613771931,0.00805670804543415
"887","Treated","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Xylodon","Xylodon_novozelandicus",38,3,0.00313022019466115,0.00802620562733628
"888","Treated","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Dissophora","Dissophora_globulifera",69,4,0.00302710110877828,0.0077617977148161
"889","Treated","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Diatrype","Diatrype_stigma",131,1,0.00302024254161479,0.00774421164516614
"890","Treated","Fungi","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Chrysozymaceae","Fellozyma","Fellozyma_inositophila",54,3,0.0029960875128311,0.00768227567392591
"891","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","Psathyrella_quercicola",20,1,0.00297796307325789,0.00763580275194332
"892","Treated","Fungi","Basidiomycota","Agaricomycetes","Russulales","Albatrellaceae","Leucophleps","Leucophleps_spinispora",92,3,0.00296561350586067,0.00760413719451455
"893","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_nemorosa",60,4,0.00296177901020463,0.00759430515437084
"894","Treated","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletales_fam_Incertae_sedis","Chalciporus","Chalciporus_piperatoides",41,4,0.00295514289560537,0.00757728947591121
"895","Treated","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Cunninghamella","Cunninghamella_elegans",24,2,0.0029446714019852,0.00755043949226975
"896","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","Hyaloscypha_aureliella",31,2,0.00293060685175805,0.00751437654296938
"897","Treated","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","Trechispora_invisitata",75,4,0.00290511997811343,0.00744902558490625
"898","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium","Scytalidium_lignicola",32,2,0.00289118544405056,0.00741329601038606
"899","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Rhizodermea","Rhizodermea_veluwensis",54,5,0.00288004867775591,0.00738474019937413
"900","Treated","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Acrostalagmus","Acrostalagmus_luteoalbus",29,2,0.00286429822139188,0.00734435441382535
"901","Treated","Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Nidulariopsis","Nidulariopsis_iowensis",123,2,0.00286186037150262,0.00733810351667338
"902","Treated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema","Hormonema_macrosporum",61,4,0.00285464284170617,0.00731959703001583
"903","Treated","Fungi","Basidiomycota","Agaricomycetes","Boletales","Coniophoraceae","Meruliporia","Meruliporia_incrassata",24,1,0.00283956460009465,0.00728093487203758
"904","Treated","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","Tausonia_pullulans",47,3,0.0028214274890681,0.00723442945914897
"905","Treated","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Spongiporus","Spongiporus_gloeoporus",117,2,0.00279845150424272,0.00717551667754544
"906","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Chaetasbolisia","Chaetasbolisia_longiseta",28,1,0.00279385352225105,0.0071637269801309
"907","Treated","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliales_fam_Incertae_sedis","Bryorbilia","Bryorbilia_arenicola",23,2,0.00279118750227908,0.00715689103148482
"908","Treated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Ramichloridium","Ramichloridium_anceps",29,2,0.0027865952901099,0.00714511612848693
"909","Treated","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Piskurozyma","Piskurozyma_silvicola",24,1,0.00275576989321392,0.00706607664926646
"910","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Crepidotaceae","Crepidotus","Crepidotus_applanatus",57,6,0.00274082242623712,0.00702774981086443
"911","Treated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Extremaceae","Extremopsis","Extremopsis_radicicola",63,2,0.00272787901748414,0.00699456158329267
"912","Treated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_angulospora",43,3,0.00267889739991656,0.00686896769209375
"913","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Vibrisseaceae","Srinivasanomyces","Srinivasanomyces_kangrensis",42,5,0.00265911441927009,0.00681824210069256
"914","Treated","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Botryobasidiaceae","Botryobasidium","Botryobasidium_candicans",103,2,0.00258210474171395,0.00662078138901013
"915","Treated","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella_bainieri",29,1,0.00257594599395985,0.00660498972810219
"916","Treated","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Cystofilobasidiaceae","Cystofilobasidium","Cystofilobasidium_capitatum",27,4,0.00255854920088637,0.0065603825663753
"917","Treated","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Cystobasidium","Cystobasidium_pinicola",74,3,0.00255797057794344,0.0065588989178037
"918","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Clitocybe","Clitocybe_brunneoceracea",18,1,0.00254560882477726,0.00652720211481349
"919","Treated","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Polyozellus","Polyozellus_atrofuscus",21,1,0.00252040326452232,0.00646257247313417
"920","Treated","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Cystobasidium","Cystobasidium_benthicum",54,3,0.00238164703366502,0.00610678726580775
"921","Treated","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula_kratochvilovae",77,2,0.00237478362316237,0.00608918877733941
"922","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma_pseudofavrei",58,3,0.00236822407029766,0.00607236941101964
"923","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Chalara","Chalara_insignis",56,2,0.00231485436160028,0.00593552400410328
"924","Treated","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_heimaeyensis",20,1,0.0022964749110116,0.00588839720772205
"925","Treated","Fungi","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Chrysozymaceae","Hamamotoa","Hamamotoa_cerberi",44,3,0.00227966743913285,0.00584530112598167
"926","Treated","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella_pallidocastanea",60,1,0.00226903150172068,0.0058180294915915
"927","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyosporium","Dictyosporium_toruloides",27,2,0.00226599573473105,0.00581024547366937
"928","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hamatocanthoscyphaceae","Hyalodendriella","Hyalodendriella_bialowiezensis",54,2,0.00222537956992046,0.00570610146133453
"929","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Jeremyomyces","Jeremyomyces_labinae",36,3,0.00221869057863528,0.00568895020162893
"930","Treated","Fungi","Basidiomycota","Agaricomycetes","Russulales","Bondarzewiaceae","Bondarzewia","Bondarzewia_occidentalis",22,1,0.00219517062462582,0.00562864262724571
"931","Treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_tricinctum",80,2,0.00219320620399356,0.00562360565126555
"932","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_echinulatum",57,2,0.00211195882183598,0.00541527903034868
"933","Treated","Fungi","Entomophthoromycota","Entomophthoromycetes","Entomophthorales","Ancylistaceae","Conidiobolus","Conidiobolus_coronatus",21,2,0.00211109056347356,0.0054130527268553
"934","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_prunicola",73,1,0.0020822636773347,0.00533913763419155
"935","Treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_spirale",84,1,0.00207345971563981,0.00531656337343542
"936","Treated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Rhinocladiella","Rhinocladiella_quercus",40,2,0.00206891723990109,0.00530491599974639
"937","Treated","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Sistotrema","Sistotrema_luteoviride",88,1,0.00202886521879467,0.00520221850972993
"938","Treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metacordyceps","Metacordyceps_chlamydosporia",34,1,0.00198842037546055,0.00509851378323219
"939","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavulinopsis","Clavulinopsis_luteonana",55,1,0.00196899724340386,0.00504871088052272
"940","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraloratospora","Paraloratospora_gahniae",17,1,0.00195200367435986,0.00500513762656374
"941","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycenella","Mycenella_lasiosperma",33,1,0.00192993742324113,0.00494855749549007
"942","Treated","Fungi","Ascomycota","Sordariomycetes","Sordariales","Helminthosphaeriaceae","Spadicoides","Spadicoides_fuscolutea",40,2,0.00191346975702663,0.0049063327103247
"943","Treated","Fungi","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytridiaceae","Dendrochytridium","Dendrochytridium_crassum",77,3,0.00191039884295366,0.00489845857167606
