"","YrSinceTrt_BR","Kingdom","Phylum","Class","Order","Family","Genus","Species","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"867","1 to 2","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Leotia","Leotia_lubrica",21,1,0.00123449532655341,0.00587854917406384
"868","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella_tenuirhizomorpha",53,1,0.00122193018859224,0.00581871518377259
"869","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inosperma","Inosperma_mucidiolens",10,1,0.00121094696052313,0.00576641409772919
"870","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavulinopsis","Clavulinopsis_trigonospora",8,1,0.00119118522930316,0.00567231061572932
"871","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Lycoperdon","Lycoperdon_dermoxanthum",20,1,0.00116965904438856,0.00556980497327886
"872","1 to 2","Fungi","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Chrysozymaceae","Fellozyma","Fellozyma_inositophila",38,2,0.00115890758402182,0.00551860754296107
"873","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius_cisqhale",14,1,0.00115406809001731,0.00549556233341577
"874","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_petiginosa",27,2,0.00115390772221797,0.00549479867722841
"875","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_nemorosa",12,2,0.00114420168205406,0.00544857943835269
"876","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Sistotrema","Sistotrema_citriforme",49,1,0.0011297090422834,0.00537956686801617
"877","1 to 2","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_abietophila",36,1,0.00111996017919363,0.00533314371044585
"878","1 to 2","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_eucalypti",38,1,0.00108391807861258,0.00516151466005993
"879","1 to 2","Fungi","Ascomycota","Sordariomycetes","Xylariales","Bartaliniaceae","Truncatella","Truncatella_angustata",43,2,0.00107887929700055,0.0051375204619074
"880","1 to 2","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_longicatenatum",46,1,0.00106054318255176,0.00505020563119885
"881","1 to 2","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_tricinctum",34,1,0.00105774016923843,0.00503685794875442
"882","1 to 2","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Coleosporiaceae","Coleosporium","Coleosporium_tussilaginis",9,2,0.00103668231146304,0.00493658243553828
"883","1 to 2","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Olla","Olla_transiens",35,2,0.00102678989387735,0.00488947568513022
"884","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavaria","Clavaria_globospora",31,1,0.00101786183346467,0.00484696111173653
"885","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae","Hysterangium","Hysterangium_crassirhachis",18,2,0.00100886382556061,0.00480411345505054
"886","1 to 2","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella_macrocystis",23,1,0.000997614400346996,0.00475054476355713
