"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"86","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Fonsecaea",5,1,3169678,0.000157744729906319
"87","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Herpotrichiellaceae_gen_Incertae_sedis",13221,12,3169678,0.417108614818288
"88","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Melanchlenus",21,1,3169678,0.000662527865606538
"89","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Melanoctona",797,5,3169678,0.0251445099470672
"90","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Minimelanolocus",2343,2,3169678,0.0739191804341009
"91","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Rhinocladiella",305,10,3169678,0.00962242852428543
"92","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Veronaea",1278,11,3169678,0.040319552964055
"93","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Paracladophialophoraceae","Paracladophialophora",41,1,3169678,0.00129350678523181
"94","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Alatosessilispora",7,1,3169678,0.000220842621868846
"95","Untreated","Fungi","Ascomycota","Eurotiomycetes","Coryneliales","Coryneliaceae","Caliciopsis",10,1,3169678,0.000315489459812637
"96","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",16,1,3169678,0.000504783135700219
"97","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",1159,29,3169678,0.0365652283922846
"98","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Phialomyces",16,1,3169678,0.000504783135700219
"99","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Rasamsonia",20,1,3169678,0.000630978919625274
"100","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces",1621,13,3169678,0.0511408414356285
"101","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Elaphomycetaceae","Elaphomyces",1425,9,3169678,0.0449572480233008
"102","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Eurotiales_fam_Incertae_sedis","Eurotiales_gen_Incertae_sedis",296,12,3169678,0.00933848801045406
"103","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Penicillaginaceae","Penicillago",120,2,3169678,0.00378587351775165
"104","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella",17827,43,3169678,0.562423060007988
"105","Untreated","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Gymnoascus",22,2,3169678,0.000694076811587802
"106","Untreated","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Auxarthron",600,15,3169678,0.0189293675887582
"107","Untreated","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Chrysosporium",6,1,3169678,0.000189293675887582
"108","Untreated","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Myriodontium",43,1,3169678,0.00135660467719434
"109","Untreated","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Onygenaceae_gen_Incertae_sedis",13,1,3169678,0.000410136297756428
"110","Untreated","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis","Onygenales_gen_Incertae_sedis",655,7,3169678,0.0206645596177277
"111","Untreated","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae","Neophaeomoniella",13,1,3169678,0.000410136297756428
"112","Untreated","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae","Phaeomoniella",73,1,3169678,0.00230307305663225
"113","Untreated","Fungi","Ascomycota","Eurotiomycetes","Sclerococcales","Sclerococcaceae","Sclerococcum",5096,28,3169678,0.16077342872052
"114","Untreated","Fungi","Ascomycota","Eurotiomycetes","Sclerococcales","Sclerococcales_fam_Incertae_sedis","Sclerococcales_gen_Incertae_sedis",320,8,3169678,0.0100956627140044
"115","Untreated","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Verrucaria",6,1,3169678,0.000189293675887582
"116","Untreated","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariales_fam_Incertae_sedis","Verrucariales_gen_Incertae_sedis",31,2,3169678,0.000978017325419175
"117","Untreated","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Geoglossum",1770,8,3169678,0.0558416343868368
"118","Untreated","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Glutinoglossum",619,2,3169678,0.0195287975624022
"119","Untreated","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Microglossum",296,5,3169678,0.00933848801045406
"120","Untreated","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Trichoglossum",4845,4,3169678,0.152854643279223
"121","Untreated","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossales_fam_Incertae_sedis","Geoglossales_gen_Incertae_sedis",122,2,3169678,0.00384897140971417
"122","Untreated","Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","Pyxidiophorales_fam_Incertae_sedis","Pyxidiophorales_gen_Incertae_sedis",34,3,3169678,0.00107266416336297
"123","Untreated","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporales_fam_Incertae_sedis","Acarosporales_gen_Incertae_sedis",71,4,3169678,0.00223997516466972
"124","Untreated","Fungi","Ascomycota","Lecanoromycetes","GS36","GS36_fam_Incertae_sedis","GS36_gen_Incertae_sedis",38,3,3169678,0.00119885994728802
"125","Untreated","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanorales_fam_Incertae_sedis","Lecanorales_gen_Incertae_sedis",11,1,3169678,0.000347038405793901
"126","Untreated","Fungi","Ascomycota","Lecanoromycetes","Lecanoromycetes_ord_Incertae_sedis","Lecanoromycetes_fam_Incertae_sedis","Lecanoromycetes_gen_Incertae_sedis",183,11,3169678,0.00577345711457126
"127","Untreated","Fungi","Ascomycota","Lecanoromycetes","Lecanoromycetes_ord_Incertae_sedis","Micropeltidaceae","Micropeltidaceae_gen_Incertae_sedis",73,3,3169678,0.00230307305663225
"128","Untreated","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Ostropales_fam_Incertae_sedis","Ostropales_gen_Incertae_sedis",75,4,3169678,0.00236617094859478
"129","Untreated","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Cryptodiscus",10,1,3169678,0.000315489459812637
"130","Untreated","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Pannariaceae","Pectenia",265,13,3169678,0.00836047068503488
"131","Untreated","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae","Aspicilia",37,1,3169678,0.00116731100130676
"132","Untreated","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Varicellaria",986,9,3169678,0.031107260737526
"133","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Ascocorticiaceae","Ascocorticium",37,3,3169678,0.00116731100130676
