"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"969","Treated","Fungi","Ascomycota","Sordariomycetes","Atractosporales","Conlariaceae","Conlarium",40,2,0.00193597793809086,0.00496404599510478
"970","Treated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema",61,4,0.00191984461479938,0.0049226784994856
"971","Treated","Fungi","Basidiomycota","GS27","GS27_ord_Incertae_sedis","GS27_ord_Incertae_sedis_fam_Incertae_sedis","GS27_ord_Incertae_sedis_gen_Incertae_sedis",52,2,0.00190744782920792,0.00489089186976389
"972","Treated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Acrodontium",28,1,0.00188831939573779,0.00484184460445588
"973","Treated","Fungi","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Chrysozymaceae","Fellozyma",54,3,0.00188282850456216,0.00482776539631323
"974","Treated","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Spongiporus",117,2,0.00181772885614093,0.00466084322087419
"975","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Humicolopsis",91,5,0.00181720056678944,0.00465948863279344
"976","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Crepidotaceae","Simocybe",48,1,0.00179627273407679,0.00460582752327383
"977","Treated","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltriciella",74,3,0.00178151994143468,0.00456799984983251
"978","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cyphellaceae","Rectipilus",56,2,0.0017234331373652,0.00441905932657745
"979","Treated","Fungi","Basidiomycota","Agaricomycetes","Boletales","Coniophoraceae","Meruliporia",24,1,0.00171686100579441,0.00440220770716515
"980","Treated","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporales_fam_Incertae_sedis","Acarosporales_gen_Incertae_sedis",43,2,0.00171613723781983,0.00440035189184572
"981","Treated","Fungi","Ascomycota","Sordariomycetes","Annulatascales","Annulatascales_fam_Incertae_sedis","Annulatascales_gen_Incertae_sedis",119,1,0.0016880390376759,0.00432830522480999
"982","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium",53,2,0.00166880756551329,0.00427899375772639
"983","Treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Pochonia",49,2,0.00166705392656711,0.00427449724760798
"984","Treated","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Syzygosporaceae","Syzygospora",84,4,0.00165658796820464,0.00424766145693497
"985","Treated","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Xerocomus",34,1,0.001647127216355,0.00422340311885899
"986","Treated","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Dissophora",69,4,0.0016396362544631,0.00420419552426437
