YrSinceTrt_BR,Kingdom,Phylum,Class,Order,Family,Genus,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
5-8 PT,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,0.06344275798516953,0.10249019917606715,0.038737654120192956,7,57.14285714285714
5-8 PT,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Podila,0.050179436074632,0.0647088566776701,0.02445764891320519,7,100
5-8 PT,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,0.04381570825998911,0.05563233280805541,0.021027045352070603,7,100
5-8 PT,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,0.04356694648251362,0.03486366831318196,0.013177228021160312,7,85.71428571428571
5-8 PT,Fungi,Basidiomycota,Agaricomycetes,Boletales,Melanogastraceae,Melanogaster,0.035669798440147546,0.0841275463992595,0.03179722374035543,7,85.71428571428571
5-8 PT,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidiaceae,Botryobasidium,0.03493496626573706,0.09056423457934865,0.03423006319626754,7,57.14285714285714
5-8 PT,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Pseudotomentella,0.034462971334131794,0.08766175938282861,0.0331330306881925,7,28.57142857142857
5-8 PT,Fungi,Basidiomycota,Geminibasidiomycetes,Geminibasidiales,Geminibasidiaceae,Geminibasidium,0.03368836276654259,0.05151289907067899,0.019470045750426695,7,100
5-8 PT,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,0.031876858608791525,0.08389605859985574,0.031709729576245724,7,57.14285714285714
5-8 PT,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,0.027313303908036775,0.025619940151410614,0.009683427177855853,7,85.71428571428571
5-8 PT,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,0.024156786878213307,0.019044704511492642,0.007198221704302768,7,100
5-8 PT,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,0.023093197055000066,0.04417009524250184,0.01669472677109958,7,42.857142857142854
5-8 PT,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capronia,0.02141111262516966,0.048067251073591374,0.018167713221032174,7,100
