"","Kingdom","Phylum","Class","Order","Family","Abundance","Prevalence","Total_Abundance","Percentage"
"104","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae",2151,18,3785746,0.0568183919364902
"105","Fungi","Ascomycota","Leotiomycetes","Helotiales","Ascocorticiaceae",58,5,3785746,0.00153206263706017
"106","Fungi","Ascomycota","Leotiomycetes","Helotiales","Bloxamiaceae",93,2,3785746,0.00245658319390683
"107","Fungi","Ascomycota","Leotiomycetes","Helotiales","Chaetomellaceae",114,9,3785746,0.00301129552801482
"108","Fungi","Ascomycota","Leotiomycetes","Helotiales","Chlorociboriaceae",118,5,3785746,0.00311695502022587
"109","Fungi","Ascomycota","Leotiomycetes","Helotiales","Cordieritidaceae",303,3,3785746,0.00800370653498676
"110","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae",2892,65,3785746,0.0763918128685865
"111","Fungi","Ascomycota","Leotiomycetes","Helotiales","Discinellaceae",47,1,3785746,0.0012414990334798
"112","Fungi","Ascomycota","Leotiomycetes","Helotiales","Gelatinodiscaceae",136,3,3785746,0.00359242273517558
"113","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hamatocanthoscyphaceae",4529,40,3785746,0.119632960055957
"114","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae",2725,47,3785746,0.0719805290687753
"115","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis",5283,51,3785746,0.13954977433774
"116","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae",14109,72,3785746,0.372687443901413
"117","Fungi","Ascomycota","Leotiomycetes","Helotiales","Lachnaceae",12,1,3785746,0.000316978476633139
"118","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae",1428,8,3785746,0.0377204387193436
"119","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leptodontidiaceae",5275,33,3785746,0.139338455353317
"120","Fungi","Ascomycota","Leotiomycetes","Helotiales","Loramycetaceae",24,1,3785746,0.000633956953266278
"121","Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae",3166,65,3785746,0.0836294880850432
"122","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae",63034,95,3785746,1.66503510800777
"123","Fungi","Ascomycota","Leotiomycetes","Helotiales","Pleuroascaceae",32,1,3785746,0.000845275937688371
"124","Fungi","Ascomycota","Leotiomycetes","Helotiales","Ploettnerulaceae",31,3,3785746,0.000818861064635609
"125","Fungi","Ascomycota","Leotiomycetes","Helotiales","Rutstroemiaceae",290,8,3785746,0.00766031318530086
"126","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae",4483,36,3785746,0.11841787589553
"127","Fungi","Ascomycota","Leotiomycetes","Helotiales","Tricladiaceae",2531,34,3785746,0.0668560436965396
"128","Fungi","Ascomycota","Leotiomycetes","Helotiales","Tympanidaceae",483,14,3785746,0.0127583836844838
"129","Fungi","Ascomycota","Leotiomycetes","Helotiales","Vibrisseaceae",412,18,3785746,0.0108829276977378
"130","Fungi","Ascomycota","Leotiomycetes","Lauriomycetales","Lauriomycetaceae",21,1,3785746,0.000554712334107994
"131","Fungi","Ascomycota","Leotiomycetes","Leotiales","Leotiales_fam_Incertae_sedis",255,4,3785746,0.00673579262845421
"132","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Cudoniaceae",10,1,3785746,0.000264148730527616
"133","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Rhytismataceae",263,17,3785746,0.0069471116128763
"134","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Rhytismatales_fam_Incertae_sedis",14,1,3785746,0.000369808222738662
"135","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae",2846,41,3785746,0.0751767287081595
"136","Fungi","Ascomycota","Orbiliomycetes","GS32","GS32_fam_Incertae_sedis",55,2,3785746,0.00145281801790189
"137","Fungi","Ascomycota","Orbiliomycetes","GS33","GS33_fam_Incertae_sedis",377,9,3785746,0.00995840714089112
"138","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae",754,23,3785746,0.0199168142817822
"139","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliales_fam_Incertae_sedis",441,16,3785746,0.0116489590162679
"140","Fungi","Ascomycota","Pezizomycetes","Pezizales","Discinaceae",4401,15,3785746,0.116251856305204
"141","Fungi","Ascomycota","Pezizomycetes","Pezizales","Helvellaceae",387,5,3785746,0.0102225558714187
"142","Fungi","Ascomycota","Pezizomycetes","Pezizales","Morchellaceae",1488,1,3785746,0.0393053311025093
"143","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae",5353,24,3785746,0.141398815451433
"144","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pulvinulaceae",21,2,3785746,0.000554712334107994
"145","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae",49280,80,3785746,1.30172494404009
"146","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcoscyphaceae",201,3,3785746,0.00530938948360508
"147","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcosomataceae",706,33,3785746,0.0186489003752497
"148","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae",52066,51,3785746,1.37531678036509
"149","Fungi","Ascomycota","Pezizomycotina_cls_Incertae_sedis","Pezizomycotina_ord_Incertae_sedis","Pezizomycotina_fam_Incertae_sedis",182,11,3785746,0.00480750689560261
"150","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae",221,10,3785746,0.00583768694466031
"151","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Lipomycetaceae",45,4,3785746,0.00118866928737427
"152","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae",144,9,3785746,0.00380374171959767
"153","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae",160,6,3785746,0.00422637968844186
"154","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis",93918,95,3785746,2.48083204736926
"155","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycopsidaceae",93,8,3785746,0.00245658319390683
"156","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae",571,10,3785746,0.0150828925131269
"157","Fungi","Ascomycota","Sareomycetes","Sareales","Sareaceae",34,4,3785746,0.000898105683793894
