"Fire_Mod","Genus","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"Mitigated","GS25_ord_Incertae_sedis_gen_Incertae_sedis",0.011957254879902,0.0228591646489471,0.00366039583276241,39,82.051282051282
"Mitigated","Exophiala",0.0109077824338855,0.0205650787641801,0.00329304809536437,39,89.7435897435898
"Mitigated","Lactarius",0.00894336212884191,0.0221308016849203,0.0035437644160328,39,43.5897435897436
"Wildfire","Umbelopsis",0.108554363704214,0.112320647102955,0.030018955637143,14,100
"Wildfire","Geminibasidium",0.0958138726320862,0.0772615434290153,0.0206490160489093,14,92.8571428571429
"Wildfire","Lyophyllum",0.0834218781163709,0.200481693678459,0.0535809864332113,14,71.4285714285714
"Wildfire","Mortierella",0.0485782060751366,0.0818136332414443,0.021865613225476,14,92.8571428571429
"Wildfire","Oidiodendron",0.0459286378475463,0.084577869593535,0.0226043864658752,14,85.7142857142857
"Wildfire","Cladosporium",0.0429476370869964,0.0736086821021147,0.019672747794148,14,100
"Wildfire","GS25_ord_Incertae_sedis_gen_Incertae_sedis",0.0404026600400257,0.0390223077404797,0.0104291504290094,14,100
"Wildfire","Podila",0.0334604986389115,0.0540675037832986,0.0144501482082291,14,85.7142857142857
"Wildfire","Saccharomycetales_gen_Incertae_sedis",0.0323016204289298,0.0402996669627682,0.0107705390411265,14,78.5714285714286
"Wildfire","Saitozyma",0.0320798947269336,0.0398151706207445,0.0106410519470552,14,100
"Wildfire","Sagenomella",0.0313564250804955,0.028738818782211,0.00768077239882983,14,85.7142857142857
"Wildfire","Ochrocladosporium",0.0247823614357407,0.0745637203949717,0.0199279925143709,14,71.4285714285714
"Wildfire","Plicaria",0.0243501003464221,0.0513753933836166,0.0137306514394447,14,100
"Wildfire","Monoblepharomycota_gen_Incertae_sedis",0.0238300381454312,0.068357137707701,0.0182692135173388,14,71.4285714285714
"Wildfire","Other",0.0198587912272824,NA,NA,NA,NA
"Wildfire","Russula",0.0177403125976589,0.0370774272098098,0.00990935924301127,14,42.8571428571429
"Wildfire","Aureobasidium",0.0160148571102055,0.032725566198116,0.00874627546439575,14,78.5714285714286
"Wildfire","Solicoccozyma",0.0153162556879483,0.0257292978089275,0.00687644408594857,14,85.7142857142857
"Wildfire","Inocybe",0.0119116516469516,0.0228128120675262,0.0060969804846818,14,64.2857142857143
"Wildfire","Rhizopogon",0.0108900227163524,0.0166406163322799,0.0044473917871533,14,78.5714285714286
"Wildfire","Alpova",0.0105188362409259,0.0353261811176736,0.00944131903753268,14,35.7142857142857
