Sample_nameRps10,Experiment,Sample_or_Control,Hundredplot_tree_EP,PrePost_sam_EP,PrePost_EP,Treatuntreat_EP,Lineage_EP,YearSam_EP,YearTrt_EP,YrSinceTrt_EP,YrSinceTrt_Range,YrSinceTrt_BR,Fire_EP,Fire_Mod,Burned1-0_EP,YrSinceBurn_EP,Latitude,Longitude,VegBin,SoilBin,Incubation,Soil,Treatment
HD4321-S1_S121,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S10_S130,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S11_S131,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S12_S132,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S13_S133,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S14_S134,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S15_S135,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S16_S136,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S17_S137,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S18_S138,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S19_S139,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S2_S122,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S20_S140,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S3_S123,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S4_S124,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S5_S125,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S6_S126,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S7_S127,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S8_S128,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S9_S129,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4325-S1_S25,basetree_100plots,sample,1,0,NA,0,NA1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.05423,-124.27666,1,0,NA,NA,NA
HD4326-S1_S26,basetree_100plots,sample,1,0,NA,0,NA1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.17954,-124.34254,1,0,NA,NA,NA
HD4327-S1_S27,basetree_100plots,sample,1,0,NA,0,NA1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.15498,-124.29518,0,0,NA,NA,NA
HD4329-S1_S29,basetree_100plots,sample,1,0,NA,0,EU1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.345979,-124.41295,0,0,NA,NA,NA
HD4330-S1_S30,basetree_100plots,sample,1,0,NA,1,EU1,2018,2017,1,<3,1to2,unburned,SODtrt,0,unburned,42.3264,-124.40685,1,1,NA,NA,NA
HD4336-S10_S170,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S11_S171,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S111_23_S36,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S12_S172,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S13_S173,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S14_S174,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S15_S175,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S16_S176,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S17_S177,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S18_S178,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S19_S179,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S2_S162,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S20_S180,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S3_S163,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S4_S164,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S5_S165,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S6_S166,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S7_S167,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S8_S168,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4336-S9_S169,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4338-S1_S38,basetree_100plots,sample,1,0,NA,0,NA1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.30704,-124.39725,1,0,NA,NA,NA
HD4344-S1_S44,basetree_100plots,sample,1,0,NA,0,EU1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.04176,-124.1024,1,0,NA,NA,NA
HD4345-S1_S45,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.04669,-124.09534,1,0,NA,NA,NA
HD4346-S1_S46,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.04251,-124.10088,0,0,NA,NA,NA
HD4347-S1_S47,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.2671,-124.308,0,0,NA,NA,NA
HD4348-S1_S48,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.26547,-124.3096,1,0,NA,NA,NA
HD4350-S1_S50,basetree_100plots,sample,1,0,NA,0,EU1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.29327,-124.38197,0,0,NA,NA,NA
HD4351-S1_S51,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.28273,-124.30651,1,0,NA,NA,NA
HD4352-S1_S52,basetree_100plots,sample,1,0,NA,0,EU1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.30655,-124.39801,1,1,NA,NA,NA
HD4353-S1_S53,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.05744,-124.19982,1,0,NA,NA,NA
HD4370-S1_S70,control_plot,sample,1,0,NA,0,uninfested,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.48899,-124.23937,0,0,NA,NA,NA
HD4371-S1_S101,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S10_S110,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S11_S111,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S111_19_S71,control_plot,sample,1,0,NA,0,uninfested,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S12_S112,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S13_S113,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S14_S114,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S15_S115,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S16_S116,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S17_S117,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S18_S118,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S19_S119,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S2_S102,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S20_S120,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S3_S103,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S4_S104,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S5_S105,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S6_S106,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S7_S107,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S8_S108,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4371-S9_S109,plots5_samples20,sample,0,0,NA,0,uninfested,2019,9999,untreated,NA, NA,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
HD4372-S1_S72,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.29204,-124.32932,1,1,NA,NA,NA
HD4373-S1_S73,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.29474,-124.32393,1,0,NA,NA,NA
HD4374-S1_S74,basetree_100plots,sample,1,0,NA,0,EU1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32526,-124.38251,1,0,NA,NA,NA
HD4375-S1_S75,basetree_100plots,sample,1,0,NA,0,EU1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32048,-124.37257,0,0,NA,NA,NA
HD4393-S1_S93,basetree_100plots,sample,1,0,NA,0,EU1,2020,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.31258,-124.40617,1,0,NA,NA,NA
HD4394-S1_S94,basetree_100plots,sample,1,0,NA,0,EU1,2020,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.30941,-124.40005,1,1,NA,NA,NA
HD4395-S1_S95,basetree_100plots,sample,1,0,NA,0,EU1,2020,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.30888,-124.39334,1,0,NA,NA,NA
HD4317-S1_S17,basetree_100plots,sample,1,1,pre,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.29568,-124.38348,1,0,NA,NA,NA
HD4318-S1_S18,basetree_100plots,sample,1,1,pre,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.29694,-124.3813,1,0,NA,NA,NA
HD4321-S111_19_S21,basetree_100plots,sample,1,1,pre,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4322-S1_S22,basetree_100plots,sample,1,1,pre,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.29334,-124.39408,1,1,NA,NA,NA
HD4323-S1_S23,basetree_100plots,sample,1,1,pre,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.30105,-124.38664,1,1,NA,NA,NA
HD4328-S1_S28,basetree_100plots,sample,1,1,pre,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.33312,-124.40082,1,1,NA,NA,NA
HD4335-S1_S35,basetree_100plots,sample,1,1,pre,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.333,-124.40105,1,0,NA,NA,NA
HD4336-S1_S161,basetree_100plots,sample,1,1,pre,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.33195,-124.40257,1,0,NA,NA,NA
HD4342-S1_S42,basetree_100plots,sample,1,1,pre,0,EU1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.29095,-124.38474,0,1,NA,NA,NA
HD4354-S1_S54,basetree_100plots,sample,1,1,pre,0,EU1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.35349,-124.40664,1,1,NA,NA,NA
HD4303-S1_S3,basetree_100plots,sample,1,0,NA,1,NA1,2018,2017,1,<3,1to2,wildfire,wildfire,1,1,42.14574,-124.1485,0,0,NA,NA,NA
HD4304-S1_S4,basetree_100plots,sample,1,0,NA,1,NA1,2018,2017,1,<3,1to2,wildfire,wildfire,1,1,42.14574,-124.1485,1,1,NA,NA,NA
HD4305-S1_S5,basetree_100plots,sample,1,0,NA,1,NA1,2018,2017,1,<3,1to2,wildfire,wildfire,1,1,42.14503,-124.15112,0,0,NA,NA,NA
HD4306-S1_S6,basetree_100plots,sample,1,0,NA,1,NA1,2018,2017,1,<3,1to2,wildfire,wildfire,1,1,42.14556,-124.15621,1,1,NA,NA,NA
HD4307-S1_S7,basetree_100plots,sample,1,0,NA,1,NA1,2018,2017,1,<3,1to2,wildfire,wildfire,1,1,42.15566,-124.144,1,0,NA,NA,NA
HD4324-S1_S24,basetree_100plots,sample,1,0,NA,1,NA1,2018,2017,1,<3,1to2,wildfire,wildfire,1,1,42.13819,-124.16406,1,1,NA,NA,NA
HD4331-S1_S31,basetree_100plots,sample,1,0,NA,1,NA1,2018,2016,2,<3,1to2,wildfire,wildfire,1,1,42.16726,-124.14046,0,0,NA,NA,NA
HD4332-S1_S32,basetree_100plots,sample,1,0,NA,1,NA1,2018,2016,2,<3,1to2,wildfire,wildfire,1,1,42.1672,-124.14009,0,0,NA,NA,NA
HD4333-S1_S33,basetree_100plots,sample,1,0,NA,1,NA1,2018,2016,2,<3,1to2,wildfire,wildfire,1,1,42.16854,-124.13562,0,0,NA,NA,NA
HD4334-S1_S34,basetree_100plots,sample,1,0,NA,1,NA1,2018,2015,3,>3,3to4,wildfire,wildfire,1,1,42.16843,-124.13837,0,0,NA,NA,NA
HD4361-S1_S61,basetree_100plots,sample,1,0,NA,1,NA1,2019,2015,4,>3,3to4,wildfire,wildfire,1,2,42.16951,-124.13448,1,0,NA,NA,NA
HD4362-S1_S62,basetree_100plots,sample,1,0,NA,1,NA1,2019,2014,5,>3,5to8,wildfire,wildfire,1,2,42.16633,-124.14064,0,0,NA,NA,NA
HD4363-S1_S63,basetree_100plots,sample,1,0,NA,1,NA1,2019,2015,4,>3,3to4,wildfire,wildfire,1,2,42.14356,-124.15952,0,0,NA,NA,NA
HD4364-S1_S64,basetree_100plots,sample,1,0,NA,1,NA1,2019,2015,4,>3,3to4,wildfire,wildfire,1,2,42.14111,-124.16058,0,0,NA,NA,NA
emptyextraction_S201,control,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC_S217,control,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
